millis,state,yaw_deg,pitch_deg,roll_deg,ax_G,ay_G,az_G,pressure_kPa,altitude_ft
13200,GROUND,140.595,-54.364,-167.454,-0.830,0.077,0.539,100.216,304.099
13202,GROUND,140.595,-54.364,-167.454,-0.830,0.077,0.539,100.216,304.099
13205,GROUND,140.628,-54.364,-167.466,-0.826,0.071,0.540,100.204,307.400
13209,GROUND,140.654,-54.365,-167.477,-0.830,0.071,0.546,100.204,307.400
13212,GROUND,140.677,-54.367,-167.487,-0.831,0.069,0.546,100.204,307.400
13215,GROUND,140.695,-54.371,-167.494,-0.832,0.071,0.552,100.204,307.400
13218,GROUND,140.714,-54.375,-167.503,-0.829,0.069,0.551,100.200,308.500
13221,GROUND,140.714,-54.375,-167.503,-0.829,0.069,0.551,100.200,308.500
13223,GROUND,140.714,-54.375,-167.503,-0.829,0.069,0.551,100.200,308.500
13226,GROUND,140.714,-54.375,-167.503,-0.829,0.069,0.551,100.200,308.500
13232,GROUND,140.736,-54.379,-167.513,-0.825,0.076,0.552,100.216,304.099
13235,GROUND,140.758,-54.382,-167.519,-0.819,0.088,0.546,100.200,308.500
13238,GROUND,140.783,-54.387,-167.520,-0.811,0.096,0.544,100.222,302.444
13241,GROUND,140.806,-54.393,-167.518,-0.804,0.100,0.549,100.216,304.099
13244,GROUND,140.820,-54.400,-167.509,-0.805,0.102,0.543,100.204,307.400
13247,GROUND,140.820,-54.400,-167.509,-0.805,0.102,0.543,100.204,307.400
13250,GROUND,140.820,-54.400,-167.509,-0.805,0.102,0.543,100.204,307.400
13252,GROUND,140.820,-54.400,-167.509,-0.805,0.102,0.543,100.204,307.400
13255,GROUND,140.820,-54.400,-167.509,-0.805,0.102,0.543,100.204,307.400
13258,GROUND,140.823,-54.410,-167.494,-0.803,0.103,0.549,100.204,307.400
13261,GROUND,140.815,-54.420,-167.475,-0.799,0.102,0.552,100.193,310.432
13264,GROUND,140.796,-54.429,-167.451,-0.792,0.105,0.556,100.204,307.400
13267,GROUND,140.765,-54.435,-167.421,-0.788,0.101,0.561,100.216,304.099
13270,GROUND,140.723,-54.438,-167.386,-0.788,0.107,0.560,100.204,307.400
13273,GROUND,140.723,-54.438,-167.386,-0.788,0.107,0.560,100.204,307.400
13276,GROUND,140.723,-54.438,-167.386,-0.788,0.107,0.560,100.204,307.400
13279,GROUND,140.723,-54.438,-167.386,-0.788,0.107,0.560,100.204,307.400
13284,GROUND,140.672,-54.436,-167.341,-0.783,0.115,0.559,100.204,307.400
13287,GROUND,140.613,-54.430,-167.289,-0.781,0.113,0.553,100.204,307.400
13290,GROUND,140.548,-54.421,-167.233,-0.787,0.114,0.549,100.216,304.099
13293,GROUND,140.479,-54.408,-167.171,-0.788,0.116,0.544,100.204,307.400
13297,GROUND,140.406,-54.394,-167.100,-0.794,0.121,0.539,100.204,307.400
13300,GROUND,140.406,-54.394,-167.100,-0.794,0.121,0.539,100.204,307.400
13303,GROUND,140.406,-54.394,-167.100,-0.794,0.121,0.539,100.204,307.400
13305,GROUND,140.406,-54.394,-167.100,-0.794,0.121,0.539,100.204,307.400
13310,GROUND,140.328,-54.376,-167.023,-0.795,0.119,0.539,100.204,307.400
13313,GROUND,140.241,-54.357,-166.941,-0.800,0.118,0.534,100.209,306.022
13316,GROUND,140.147,-54.336,-166.855,-0.799,0.114,0.531,100.204,307.400
13320,GROUND,140.053,-54.312,-166.769,-0.797,0.109,0.530,100.204,307.400
13323,GROUND,139.956,-54.285,-166.685,-0.797,0.105,0.530,100.227,301.066
13326,GROUND,139.956,-54.285,-166.685,-0.797,0.105,0.530,100.227,301.066
13328,GROUND,139.956,-54.285,-166.685,-0.797,0.105,0.530,100.227,301.066
13331,GROUND,139.956,-54.285,-166.685,-0.797,0.105,0.530,100.227,301.066
13336,GROUND,139.853,-54.258,-166.601,-0.803,0.101,0.530,100.204,307.400
13340,GROUND,139.742,-54.230,-166.517,-0.806,0.093,0.532,100.216,304.099
13343,GROUND,139.622,-54.201,-166.432,-0.804,0.091,0.535,100.204,307.400
13346,GROUND,139.496,-54.167,-166.351,-0.771,0.085,0.547,100.204,307.400
13349,GROUND,139.371,-54.125,-166.275,-0.765,0.090,0.554,100.193,310.432
13352,GROUND,139.371,-54.125,-166.275,-0.765,0.090,0.554,100.193,310.432
13355,GROUND,139.371,-54.125,-166.275,-0.765,0.090,0.554,100.193,310.432
13357,GROUND,139.371,-54.125,-166.275,-0.765,0.090,0.554,100.193,310.432
13363,GROUND,139.252,-54.079,-166.205,-0.777,0.100,0.551,100.220,302.998
13366,GROUND,139.139,-54.034,-166.142,-0.787,0.104,0.544,100.204,307.400
13369,GROUND,139.041,-53.991,-166.093,-0.797,0.113,0.538,100.216,304.099
13372,GROUND,138.958,-53.955,-166.060,-0.802,0.123,0.534,100.216,304.099
13375,GROUND,138.888,-53.925,-166.039,-0.812,0.141,0.530,100.193,310.432
13378,GROUND,138.888,-53.925,-166.039,-0.812,0.141,0.530,100.193,310.432
13381,GROUND,138.888,-53.925,-166.039,-0.812,0.141,0.530,100.193,310.432
13384,GROUND,138.888,-53.925,-166.039,-0.812,0.141,0.530,100.193,310.432
13389,GROUND,138.835,-53.901,-166.029,-0.820,0.147,0.529,100.220,302.998
13392,GROUND,138.797,-53.883,-166.035,-0.815,0.156,0.533,100.198,309.055
13395,GROUND,138.772,-53.868,-166.055,-0.816,0.176,0.538,100.204,307.400
13398,GROUND,138.757,-53.856,-166.077,-0.815,0.194,0.541,100.204,307.400
13401,GROUND,138.753,-53.846,-166.105,-0.812,0.203,0.552,100.204,307.400
13404,GROUND,138.753,-53.846,-166.105,-0.812,0.203,0.552,100.204,307.400
13407,GROUND,138.753,-53.846,-166.105,-0.812,0.203,0.552,100.204,307.400
13410,GROUND,138.753,-53.846,-166.105,-0.812,0.203,0.552,100.204,307.400
13415,GROUND,138.765,-53.833,-166.145,-0.814,0.217,0.558,100.209,306.022
13418,GROUND,138.782,-53.820,-166.178,-0.820,0.223,0.561,100.204,307.400
13421,GROUND,138.805,-53.804,-166.210,-0.825,0.223,0.563,100.204,307.400
13424,GROUND,138.829,-53.787,-166.237,-0.828,0.222,0.564,100.209,306.022
13428,GROUND,138.856,-53.768,-166.256,-0.828,0.222,0.560,100.193,310.432
13430,GROUND,138.856,-53.768,-166.256,-0.828,0.222,0.560,100.193,310.432
